rfq_id,buyer_ref,buyer_name,buyer_email,buyer_type,commodity,required_quantity,unit,target_price_inr_per_quintal,delivery_city,delivery_state,max_distance_km,quality_requirements,expires_at,status,notes,rfq_type
RFQ-TOM-A,DEMO-BUYER-4E5F3CDF,FreshBasket Retail,procurement.freshbasketretail@demo-sih26033.org,Retail Chain,Tomato,80,QUINTAL,1650,Mumbai,Maharashtra,242,Grade A; firmness >85%; diameter >50mm; low bruising,2026-10-04,OPEN,Feasible Tomato RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-TOM-B,DEMO-BUYER-8CAB425E,Western Harvest Foods,procurement.westernharvestfoods@demo-sih26033.org,Food Processor,Tomato,110,QUINTAL,1530,Indore,Madhya Pradesh,530,Grade A; firmness >85%; diameter >50mm; low bruising,2026-10-06,OPEN,Feasible competing Tomato RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-TOM-C,DEMO-BUYER-7D12F915,Deccan Fresh Distribution,procurement.deccanfreshdistribution@demo-sih26033.org,Distributor,Tomato,140,QUINTAL,1620,Ahmedabad,Gujarat,1056,Grade A; firmness >85%; diameter >50mm; low bruising,2026-10-08,OPEN,Feasible inter-state Tomato RFQ; test premium price against freight.,FPO_BULK
RFQ-TOM-D,DEMO-BUYER-4F92B164,National Produce Wholesale,procurement.nationalproducewholesale@demo-sih26033.org,Institutional Wholesaler,Tomato,220,QUINTAL,1580,Delhi,Delhi,1144,Grade A; firmness >85%; diameter >50mm; low bruising,2026-10-10,OPEN,Stress Tomato RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-ONI-A,DEMO-BUYER-62F1768E,Metro Onion Retail,procurement.metroonionretail@demo-sih26033.org,Retail Chain,Onion,160,QUINTAL,3320,Mumbai,Maharashtra,242,Grade A; cured red onion; dry skin; low sprouting,2026-10-12,OPEN,Feasible Onion RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-ONI-B,DEMO-BUYER-25420128,Western Onion Foods,procurement.westernonionfoods@demo-sih26033.org,Food Processor,Onion,220,QUINTAL,3540,Indore,Madhya Pradesh,530,Grade A; cured red onion; dry skin; low sprouting,2026-10-02,OPEN,Feasible competing Onion RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-ONI-C,DEMO-BUYER-B538A0BC,Deccan Onion Distribution,procurement.deccanoniondistribution@demo-sih26033.org,Distributor,Onion,270,QUINTAL,3380,Ahmedabad,Gujarat,1056,Grade A; cured red onion; dry skin; low sprouting,2026-10-04,OPEN,Feasible inter-state Onion RFQ; test premium price against freight.,FPO_BULK
RFQ-ONI-D,DEMO-BUYER-6EE45F0D,National Onion Wholesale,procurement.nationalonionwholesale@demo-sih26033.org,Institutional Wholesaler,Onion,450,QUINTAL,3250,Delhi,Delhi,1144,Grade A; cured red onion; dry skin; low sprouting,2026-10-06,OPEN,Stress Onion RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-POT-A,DEMO-BUYER-67CA405D,FreshRoot Retail,procurement.freshrootretail@demo-sih26033.org,Retail Chain,Potato,110,QUINTAL,450,Mumbai,Maharashtra,242,Grade 1; clean skin; low damage; uniform size,2026-10-08,OPEN,Feasible Potato RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-POT-B,DEMO-BUYER-6C948FC7,Western Potato Foods,procurement.westernpotatofoods@demo-sih26033.org,Food Processor,Potato,150,QUINTAL,430,Indore,Madhya Pradesh,530,Grade 1; clean skin; low damage; uniform size,2026-10-10,OPEN,Feasible competing Potato RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-POT-C,DEMO-BUYER-2B958E41,Deccan Potato Distribution,procurement.deccanpotatodistribution@demo-sih26033.org,Distributor,Potato,180,QUINTAL,460,Ahmedabad,Gujarat,1056,Grade 1; clean skin; low damage; uniform size,2026-10-12,OPEN,Feasible inter-state Potato RFQ; test premium price against freight.,FPO_BULK
RFQ-POT-D,DEMO-BUYER-6076BAED,National Potato Wholesale,procurement.nationalpotatowholesale@demo-sih26033.org,Institutional Wholesaler,Potato,300,QUINTAL,440,Delhi,Delhi,1144,Grade 1; clean skin; low damage; uniform size,2026-10-02,OPEN,Stress Potato RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-WHE-A,DEMO-BUYER-2F131AFD,Capital Grain Retail,procurement.capitalgrainretail@demo-sih26033.org,Retail Chain,Wheat,280,QUINTAL,2690,Delhi,Delhi,242,Sharbati Premium; moisture <12%; foreign matter <0.5%,2026-10-04,OPEN,Feasible Wheat RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-WHE-B,DEMO-BUYER-6BE3812C,Western Flour Mills,procurement.westernflourmills@demo-sih26033.org,Food Processor,Wheat,380,QUINTAL,2880,Ahmedabad,Gujarat,577,Sharbati Premium; moisture <12%; foreign matter <0.5%,2026-10-06,OPEN,Feasible competing Wheat RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-WHE-C,DEMO-BUYER-83BB6F7C,Deccan Grain Distribution,procurement.deccangraindistribution@demo-sih26033.org,Distributor,Wheat,450,QUINTAL,2770,Mumbai,Maharashtra,977,Sharbati Premium; moisture <12%; foreign matter <0.5%,2026-10-08,OPEN,Feasible inter-state Wheat RFQ; test premium price against freight.,FPO_BULK
RFQ-WHE-D,DEMO-BUYER-47FF28A6,National Grain Wholesale,procurement.nationalgrainwholesale@demo-sih26033.org,Institutional Wholesaler,Wheat,750,QUINTAL,2960,Hyderabad,Telangana,1573,Sharbati Premium; moisture <12%; foreign matter <0.5%,2026-10-10,OPEN,Stress Wheat RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-RIC-A,DEMO-BUYER-990FD0CF,Premium Rice Retail,procurement.premiumriceretail@demo-sih26033.org,Retail Chain,Rice,220,QUINTAL,5720,Delhi,Delhi,242,Basmati Grade A; aged grain; moisture <14%; low broken percentage,2026-10-12,OPEN,Feasible Rice RFQ; lower-logistics benchmark.,FPO_BULK
RFQ-RIC-B,DEMO-BUYER-912F68EC,Western Rice Foods,procurement.westernricefoods@demo-sih26033.org,Food Processor,Rice,300,QUINTAL,5410,Ahmedabad,Gujarat,577,Basmati Grade A; aged grain; moisture <14%; low broken percentage,2026-10-02,OPEN,Feasible competing Rice RFQ; stronger price with higher logistics burden.,FPO_BULK
RFQ-RIC-C,DEMO-BUYER-F82DF0DA,Deccan Rice Distribution,procurement.deccanricedistribution@demo-sih26033.org,Distributor,Rice,360,QUINTAL,5820,Mumbai,Maharashtra,977,Basmati Grade A; aged grain; moisture <14%; low broken percentage,2026-10-04,OPEN,Feasible inter-state Rice RFQ; test premium price against freight.,FPO_BULK
RFQ-RIC-D,DEMO-BUYER-AAE81A35,National Rice Wholesale,procurement.nationalricewholesale@demo-sih26033.org,Institutional Wholesaler,Rice,600,QUINTAL,5510,Hyderabad,Telangana,1573,Basmati Grade A; aged grain; moisture <14%; low broken percentage,2026-10-06,OPEN,Stress Rice RFQ; attractive target price but quantity exceeds current FPO capacity.,FPO_BULK
RFQ-MUS-A,DEMO-BUYER-3EE82F00,Metro Mustard Retail,procurement.metromustardretail@demo-sih26033.org,Retail Chain,Mustard,100,QUINTAL,8060,Delhi,Delhi,242,Bold Grain; moisture <8%; good oil content,2026-10-08,OPEN,Feasible Mustard RFQ; lower-logistics benchmark.,FPO_BULK
